YYYY MM DD hh mm DIR SPD GDR GSP GMN
2003 01 02 03 30 323 3.6 999 99.0 99
2003 01 02 03 40 330 3.6 999 99.0 99
2003 01 02 03 50 331 3.2 999 99.0 99
2003 01 02 04 00 336 2.8 331 4.6 31
2003 01 02 04 10 336 2.7 999 99.0 99
2003 01 02 04 20 336 2.6 999 99.0 99
2003 01 02 04 30 338 2.5 999 99.0 99
2003 01 02 04 40 339 2.8 999 99.0 99
2003 01 02 04 50 339 2.0 999 99.0 99
2003 01 02 05 00 351 2.2 338 3.6 33
2003 01 02 05 10 6 2.5 999 99.0 99
2003 01 02 05 20 8 2.7 999 99.0 99
2003 01 02 05 30 7 2.3 999 99.0 99
2003 01 02 05 40 18 2.1 999 99.0 99
2003 01 02 05 50 24 2.1 999 99.0 99
2003 01 02 06 00 15 2.1 8 3.2 15
2003 01 02 06 10 25 2.2 999 99.0 99
2003 01 02 06 20 29 1.9 999 99.0 99
2003 01 02 06 30 32 2.0 999 99.0 99
2003 01 02 06 40 35 2.1 999 99.0 99
2003 01 02 06 50 23 2.3 999 99.0 99
2003 01 02 07 00 13 2.6 21 3.1 59
2003 01 02 07 10 19 3.0 999 99.0 99
2003 01 02 07 20 32 2.8 999 99.0 99
2003 01 02 07 30 31 2.6 999 99.0 99
2003 01 02 07 40 31 2.4 999 99.0 99
2003 01 02 07 50 38 2.8 999 99.0 99
2003 01 02 08 00 55 3.2 59 3.7 57
2003 01 02 08 10 53 2.8 999 99.0 99
2003 01 02 08 20 44 3.1 999 99.0 99
2003 01 02 08 30 37 3.0 999 99.0 99
2003 01 02 08 40 17 2.6 999 99.0 99
2003 01 02 08 50 12 2.2 999 99.0 99
2003 01 02 09 00 2 2.3 49 3.6 11
2003 01 02 09 10 6 2.4 999 99.0 99
2003 01 02 09 20 5 2.4 999 99.0 99
2003 01 02 09 30 7 2.4 999 99.0 99
2003 01 02 09 40 360 2.6 999 99.0 99
2003 01 02 09 50 4 2.8 999 99.0 99
2003 01 02 10 00 8 3.0 18 3.5 57
2003 01 02 10 10 10 2.8 999 99.0 99
2003 01 02 10 20 8 2.7 999 99.0 99
2003 01 02 10 30 11 3.0 999 99.0 99
2003 01 02 10 40 11 3.0 999 99.0 99
2003 01 02 10 50 13 3.0 999 99.0 99
2003 01 02 11 00 16 2.5 18 3.7 28
2003 01 02 11 10 25 2.6 999 99.0 99
2003 01 02 11 20 18 3.0 999 99.0 99
2003 01 02 11 30 13 3.0 999 99.0 99
2003 01 02 11 40 6 3.3 999 99.0 99
2003 01 02 11 50 3 3.3 999 99.0 99
2003 01 02 12 00 359 3.5 10 4.0 36
2003 01 02 12 10 358 4.0 999 99.0 99
2003 01 02 12 20 13 5.9 999 99.0 99
2003 01 02 12 30 11 5.7 999 99.0 99
2003 01 02 12 40 14 5.7 999 99.0 99
2003 01 02 12 50 13 5.3 999 99.0 99
2003 01 02 13 00 19 5.1 9 6.4 14
2003 01 02 13 10 24 4.7 999 99.0 99
2003 01 02 13 20 21 4.9 999 99.0 99
2003 01 02 13 30 19 5.5 999 99.0 99
2003 01 02 13 40 18 5.9 999 99.0 99
2003 01 02 13 50 16 6.3 999 99.0 99
2003 01 02 14 00 14 5.6 16 7.1 37
2003 01 02 14 10 20 4.9 999 99.0 99
2003 01 02 14 20 22 4.8 999 99.0 99
